method,l2_error,training_time,final_loss
caputo,1.0000009536743164,0.8746535778045654,0.15785706043243408
riemann_liouville,1.0000007152557373,0.47078824043273926,0.15785720944404602
caputo_fabrizio,1.0000101327896118,1.5731086730957031,0.15785737335681915
atangana_baleanu,1.0000001192092896,29.272910356521606,0.15785712003707886
