Experiment,Optimizer,Learning Rate,Physics Loss Coeff,Enhanced R² Score,Baseline R² Score,R² Improvement,Enhanced Train Loss,Baseline Train Loss,Enhanced Test Loss,Baseline Test Loss,Enhanced Time (s),Baseline Time (s),Enhanced Epochs,Baseline Epochs
enhanced_b1,Adam,0.001,0.001,0.4170558,0.57211924,-0.15506345,150.11045837402344,134.9192886352539,153.99501037597656,148.63436889648438,228.76727604866028,259.1810932159424,56,98
enhanced_b2,Adam,0.005,0.01,0.84648234,0.83673495,0.009747386,10.994781494140625,16.579678535461426,6.685596942901611,12.319815635681152,399.2935712337494,254.22654175758362,145,78
enhanced_b3,Adam,0.01,0.1,0.8802375,0.8590459,0.021191597,7.908715724945068,40.79684638977051,6.0085673332214355,18.48560333251953,382.64864468574524,258.3951168060303,148,78
